"METRIC_KEY","METRIC_ID","METRIC_DATE","LOCATION_ID","NUMERATOR","DENOMINATOR","FISCAL_DATE","LAST_CHANGE_DT","LAST_CHANGE_ACTION"
"5900001","293","2021-03-21","25400001","298.0000","13.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21900001","1018.0000","40.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","29800002","16.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","18100001","465.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21300001","21.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32300001","1581.0000","47.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23800001","620.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46300001","271.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27300001","268.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46600001","602.0000","10.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22800001","103.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30900001","1453.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38800001","957.0000","29.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26300001","143.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33100001","1100.0000","36.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","20600001","163.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19200001","102.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22500001","220.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44800001","306.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23300001","109.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35000001","59.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","43200001","61.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42900001","417.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25500001","524.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39400001","1849.0000","39.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42600001","260.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","31500002","407.0000","14.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23900001","484.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23600001","609.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26200001","144.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","43900001","63.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27700001","324.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36900001","94.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","34100001","167.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24300001","1510.0000","43.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24200001","292.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32100001","231.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","18200001","1527.0000","37.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39700001","26.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","20100001","497.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21700001","19.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","34300001","717.0000","23.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44100001","505.0000","13.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","45800001","723.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","40300001","401.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36200001","47.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26100001","70.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38100001","48.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32400001","673.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39100001","155.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42500001","872.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","40000001","334.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22900001","478.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","31500001","859.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","18600001","852.0000","28.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25100001","1578.0000","51.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28900001","303.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44200001","49.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30200001","167.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33800001","78.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25800001","321.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35600001","204.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","31100001","256.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24000001","1169.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36800001","192.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19900001","258.0000","10.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46100001","312.0000","9.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21400001","481.0000","10.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42800001","104.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","31600001","563.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","29200001","126.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33700001","234.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","41700001","98.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23200001","379.0000","9.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27400001","489.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","29600001","46.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22700001","982.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32500001","24.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22400001","155.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37500001","28.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19500001","932.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46900001","77.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30000001","52.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25700001","74.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21600001","600.0000","17.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42300001","149.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24600001","625.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39600001","2702.0000","36.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","43300001","170.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","21100001","1053.0000","20.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32700001","735.0000","29.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","29300001","81.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37400002","510.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27800001","116.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37600001","98.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","40400001","236.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35400001","199.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
